"Instrument","Description","Sector","TickSize","PipLocation"
"XAG_CAD","Silver/CAD","Commodity",0.0001,-4
"XAG_CHF","Silver/CHF","Commodity",0.0001,-4
"XAG_EUR","Silver/EUR","Commodity",0.0001,-4
"XAG_GBP","Silver/GBP","Commodity",0.0001,-4
"XAG_HKD","Silver/HKD","Commodity",0.0001,-4
"XAG_JPY","Silver/JPY","Commodity",1,0
"XAG_NZD","Silver/NZD","Commodity",0.0001,-4
"XAG_SGD","Silver/SGD","Commodity",0.0001,-4
"XAG_USD","Silver","Commodity",0.0001,-4
"XAU_AUD","Gold/AUD","Commodity",0.01,-2
"XAU_CAD","Gold/CAD","Commodity",0.01,-2
"XAU_CHF","Gold/CHF","Commodity",0.01,-2
"XAU_EUR","Gold/EUR","Commodity",0.01,-2
"XAU_GBP","Gold/GBP","Commodity",0.01,-2
"XAU_HKD","Gold/HKD","Commodity",0.01,-2
"XAU_JPY","Gold/JPY","Commodity",10,1
"XAU_NZD","Gold/NZD","Commodity",0.01,-2
"XAU_SGD","Gold/SGD","Commodity",0.01,-2
"XAU_USD","Gold","Commodity",0.01,-2
"XAU_XAG","Gold/Silver","Commodity",0.01,-2
"XPD_USD","Palladium","Commodity",0.01,-2
"XPT_USD","Platinum","Commodity",0.01,-2
